No of Association rules = 89
1.) { whole milk, } -----> { baking powder, } confidence = 52.2989
65.) { whole milk, } -----> { curd, whipped/sour cream, } confidence = 56.3107
66.) { whole milk, } -----> { chicken, root vegetables, } confidence = 55.1402
67.) { whole milk, } -----> { fruit/vegetable juice, root vegetables, } confidence = 54.2373
68.) { whole milk, } -----> { pastry, root vegetables, } confidence = 51.8519
69.) { whole milk, } -----> { root vegetables, sausage, } confidence = 51.7007
70.) { whole milk, } -----> { root vegetables, brown bread, } confidence = 56
71.) { whole milk, } -----> { root vegetables, whipped/sour cream, } confidence = 55.3571
72.) { whole milk, } -----> { root vegetables, domestic eggs, } confidence = 59.5745
73.) { whole milk, } -----> { root vegetables, frozen vegetables, } confidence = 53.5088
74.) { whole milk, } -----> { sausage, whipped/sour cream, } confidence = 56.1798
75.) { whole milk, } -----> { whipped/sour cream, domestic eggs, } confidence = 57.1429
76.) { other vegetables, } -----> { pip fruit, root vegetables, } confidence = 52.2876
77.) { other vegetables, } -----> { pip fruit, whipped/sour cream, } confidence = 60.4396
78.) { other vegetables, } -----> { butter, root vegetables, } confidence = 51.1811
79.) { other vegetables, } -----> { butter, whipped/sour cream, } confidence = 57
80.) { other vegetables, } -----> { chicken, root vegetables, } confidence = 52.3364
81.) { other vegetables, } -----> { fruit/vegetable juice, root vegetables, } confidence = 55.0847
82.) { other vegetables, } -----> { newspapers, root vegetables, } confidence = 52.2124
83.) { other vegetables, } -----> { pastry, root vegetables, } confidence = 53.7037
84.) { other vegetables, } -----> { root vegetables, shopping bags, } confidence = 51.5873
85.) { other vegetables, } -----> { root vegetables, pork, } confidence = 51.4925
86.) { other vegetables, } -----> { root vegetables, domestic eggs, } confidence = 51.0638
87.) { other vegetables, } -----> { root vegetables, frozen vegetables, } confidence = 52.6316
88.) { other vegetables, } -----> { root vegetables, onions, } confidence = 60.2151
89.) { other vegetables, } -----> { whipped/sour cream, domestic eggs, } confidence = 51.0204
